rank,en,pos,zh,definition,tracks,priority,issue_codes,defect_count,risk_count,heuristic_count,content_token_count,outside_vocab_ratio,advanced_token_ratio,harder_than_headword_ratio,outside_tokens,advanced_tokens
2422,smooth,adj.,平滑的、平稳的、流畅的,having a surface free from roughness or bumps or ridges or irregularities,cet4+cet6+postgrad,P3,definition_too_advanced,0,0,1,6,0.167,0.667,0.667,roughness,bumps|irregularities|ridges|roughness
2430,belt,n.,带子、地带,endless loop of flexible material between two rotating shafts or pulleys,cet4+postgrad,P3,definition_too_advanced,0,0,1,8,0.000,0.750,0.750,,endless|flexible|loop|pulleys|rotating|shafts
2436,coast,n.,海岸、滑坡,a slope down which sleds may coast,cet4+cet6+postgrad,P3,definition_too_advanced,0,0,1,3,0.333,0.667,0.667,sleds,sleds|slope
2440,teenager,n.,十三岁到十九岁的少年,a juvenile between the onset of puberty and maturity,cet4+cet6+postgrad,P3,definition_too_advanced|high_outside_vocab_ratio,0,0,2,4,0.500,1.000,1.000,onset|puberty,juvenile|maturity|onset|puberty
2446,whisper,n.,耳语、密谈、谣传,speaking softly without vibration of the vocal cords,cet4+cet6+postgrad,P3,definition_too_advanced,0,0,1,6,0.000,0.667,0.667,,cords|softly|vibration|vocal
2454,throat,n.,咽喉、喉咙、嗓音,the passage to the stomach and lungs,cet4+cet6+postgrad,P3,definition_too_advanced,0,0,1,3,0.333,0.667,1.000,passage,lungs|passage
2500,favor,n.,好意、喜爱,an act of gracious kindness,cet4+postgrad,P3,definition_too_advanced,0,0,1,3,0.000,0.667,0.667,,gracious|kindness
2503,stomach,n.,胃、食欲、欲望,an enlarged and muscular saclike organ of the alimentary canal,cet4+cet6+postgrad,P3,definition_too_advanced,0,0,1,6,0.333,1.000,1.000,alimentary|saclike,alimentary|canal|enlarged|muscular|organ|saclike
2506,sensitive,adj.,敏感的、易感的、灵敏的,responsive to physical stimuli,cet4+cet6+postgrad,P3,definition_too_advanced,0,0,1,3,0.333,0.667,0.667,responsive,responsive|stimuli
2514,aggressive,adj.,侵略的、挑畔的、进取的,having or showing determination and energetic pursuit of your ends,cet4+cet6+postgrad,P3,definition_too_advanced,0,0,1,5,0.000,0.600,0.600,,determination|energetic|pursuit
2530,honest,adj.,诚实的、坦直的、可靠的,not disposed to cheat or defraud,cet4+postgrad,P3,definition_too_advanced,0,0,1,3,0.333,1.000,1.000,defraud,cheat|defraud|disposed
2547,origin,n.,起源、起因、出身,properties attributable to your ancestry,cet4+cet6+postgrad,P3,definition_too_advanced|high_outside_vocab_ratio,0,0,2,3,0.667,0.667,0.667,ancestry|attributable,ancestry|attributable
2555,depth,n.,深度、深处、深奥,the extent downward or backward or inward,cet4+cet6+postgrad,P3,definition_too_advanced,0,0,1,4,0.000,0.750,0.750,,backward|downward|inward
2569,flat,adj.,平坦的、单调的、无力的,a level tract of land,cet4+cet6+postgrad,P2,pos_definition_conflict,0,1,0,3,0.000,0.333,0.333,,tract
2597,snap,v.,使突然中断、猛咬、争夺,a spell of cold weather,cet4+cet6+postgrad,P2,pos_definition_conflict,0,1,0,3,0.000,0.333,0.333,,spell
2610,minor,adj.,较小的、次要的,of lesser importance or stature or rank,cet4+cet6+postgrad,P3,high_outside_vocab_ratio,0,0,1,4,0.500,0.500,0.750,lesser|stature,lesser|stature
2616,classic,n.,古典作品、杰作、大艺术家,a creation of the highest excellence,cet4+cet6+postgrad,P3,definition_too_advanced|high_outside_vocab_ratio,0,0,2,3,0.667,0.667,0.667,creation|excellence,creation|excellence
2626,heaven,n.,天堂、上帝、天空,the abode of God and the angels,cet4+cet6+postgrad,P3,definition_too_advanced,0,0,1,3,0.333,0.667,1.000,abode,abode|angels
2637,Italian,n.,意大利人、意大利语,a native or inhabitant of Italy,cet4+cet6,P3,definition_too_advanced,0,0,1,3,0.333,0.667,0.667,italy,inhabitant|italy
2645,button,n.,钮扣、按钮,a round fastener sewn to shirts and coats etc to fit through buttonholes,cet4+cet6+postgrad,P3,definition_too_advanced,0,0,1,8,0.375,0.625,0.625,buttonholes|etc|round,buttonholes|etc|fastener|round|sewn
2655,portrait,n.,肖像、人像、半身像,"any likeness of a person, in any medium",cet4+cet6+postgrad,P3,definition_too_advanced,0,0,1,3,0.000,0.667,0.667,,likeness|medium
2657,roughly,adv.,概略地、粗糙地、粗暴地,with roughness or violence (`rough' is an informal variant for `roughly'),cet4+cet6+postgrad,P3,high_outside_vocab_ratio,0,0,1,6,0.500,0.500,0.500,informal|roughness|variant,informal|roughness|variant
2714,cousin,n.,堂兄弟姊妹、表兄弟姊妹,the child of your aunt or uncle,cet4+cet6+postgrad,P3,definition_too_advanced|high_outside_vocab_ratio,0,0,2,3,0.667,0.667,0.667,aunt|uncle,aunt|uncle
2741,tight,adj.,紧的、密封的、吝啬的,closely constrained or constricted or constricting,cet4+cet6+postgrad,P3,definition_too_advanced|high_outside_vocab_ratio,0,0,2,4,0.500,0.750,0.750,constricted|constricting,constrained|constricted|constricting
2775,innocent,adj.,无罪的、不懂事的、无知的,free from evil or guilt,cet4+cet6+postgrad,P3,definition_too_advanced,0,0,1,3,0.000,0.667,0.667,,evil|guilt
2777,pause,n.,暂停、中止、停顿,a time interval during which there is a temporary cessation of something,cet4+cet6+postgrad,P3,definition_too_advanced,0,0,1,5,0.200,0.600,0.600,cessation,cessation|interval|temporary
2783,raw,n.,擦伤处、半成品,informal terms for nakedness,cet4+cet6+postgrad,P3,definition_too_advanced|high_outside_vocab_ratio,0,0,2,3,0.667,0.667,0.667,informal|nakedness,informal|nakedness
2807,freeze,v.,冻结、冷冻、僵硬,the withdrawal of heat to change something from a liquid to a solid,cet4+cet6+postgrad,P2,pos_definition_conflict,0,1,0,6,0.167,0.333,0.333,withdrawal,liquid|withdrawal
2809,God,n.,上帝、神像、偶像,the supernatural being conceived as the perfect and omnipotent and omniscient originator and ruler of the universe,cet4+postgrad,P3,definition_too_advanced|high_outside_vocab_ratio,0,0,2,8,0.500,0.750,0.750,omnipotent|omniscient|originator|supernatural,conceived|omnipotent|omniscient|originator|ruler|supernatural
2813,diverse,adj.,不同的、变化多的,distinctly dissimilar or unlike,cet4+cet6+postgrad,P3,definition_too_advanced,0,0,1,3,0.333,0.667,0.667,dissimilar,dissimilar|distinctly
2835,protest,n.,抗议、反对、抗议书,a formal and solemn declaration of objection,cet4+cet6+postgrad,P3,definition_too_advanced,0,0,1,4,0.000,0.750,0.750,,declaration|objection|solemn
2856,prior,adj.,更重要的、较早的、在先的,the head of a religious order,cet4+cet6+postgrad,P2,pos_definition_conflict,0,1,0,3,0.000,0.000,0.000,,
2871,tongue,n.,舌、语言能力、讲话方式,a mobile mass of muscular tissue covered with mucous membrane and located in the oral cavity,cet4+cet6+postgrad,P3,definition_too_advanced,0,0,1,10,0.200,0.600,0.600,membrane|mucous,cavity|membrane|mobile|mucous|muscular|oral
2901,load,n.,负荷、担子、重担,weight to be borne or conveyed,cet4+cet6+postgrad,P3,definition_too_advanced,0,0,1,3,0.333,0.667,0.667,borne,borne|conveyed
2911,deer,n.,鹿,distinguished from Bovidae by the male's having solid deciduous antlers,cet4+cet6+postgrad,P3,definition_too_advanced|high_outside_vocab_ratio,0,0,2,6,0.500,0.667,0.667,antlers|bovidae|deciduous,antlers|bovidae|deciduous|distinguished
2924,nowhere,adv.,无处、到处都无,an insignificant place,cet4+cet6+postgrad,P2,pos_definition_conflict,0,1,0,2,0.000,0.500,0.500,,insignificant
2926,exciting,adj.,令人兴奋的、刺激的,creating or arousing excitement,cet4+cet6+postgrad,P3,definition_too_advanced,0,0,1,3,0.000,0.667,0.667,,arousing|excitement
2951,lawn,n.,草地、草坪、上等细麻布,a field of cultivated and mowed grass,cet4+cet6+postgrad,P3,definition_too_advanced|high_outside_vocab_ratio,0,0,2,4,0.500,0.750,0.750,grass|mowed,cultivated|grass|mowed
2954,wisdom,n.,智慧、明智行为、学识,accumulated knowledge or erudition or enlightenment,cet4+cet6+postgrad,P3,definition_too_advanced|high_outside_vocab_ratio,0,0,2,4,0.500,0.750,0.750,enlightenment|erudition,accumulated|enlightenment|erudition
2956,garlic,n.,大蒜,bulbous herb of southern Europe widely naturalized,cet6+postgrad,P3,definition_too_advanced|high_outside_vocab_ratio,0,0,2,6,0.500,0.667,0.667,bulbous|europe|naturalized,bulbous|europe|herb|naturalized
2958,capability,n.,能力、性能、约束力,the quality of being capable -- physically or intellectually or legally,cet6,P3,definition_too_advanced,0,0,1,5,0.200,0.600,0.600,legally,intellectually|legally|physically
2979,owe,v.,亏欠、负...债、归功于,be obliged to pay or repay,cet4+cet6+postgrad,P3,definition_too_advanced,0,0,1,3,0.000,0.667,0.667,,obliged|repay
3004,carbon,n.,碳、副本、复写纸,an abundant nonmetallic tetravalent element occurring in three allotropic forms: amorphous carbon and graphite and diamond,cet4+cet6+postgrad,P3,definition_too_advanced,0,0,1,12,0.333,0.667,0.583,allotropic|amorphous|nonmetallic|tetravalent,abundant|allotropic|amorphous|carbon|diamond|graphite|nonmetallic|tetravalent
3039,calculate,v.,计算、预测、计划,make a mathematical calculation or computation,cet4+postgrad,P3,definition_too_advanced,0,0,1,4,0.250,0.750,0.750,computation,calculation|computation|mathematical
3047,efficiency,n.,效率、效能、功效,the ratio of the output to the input of any system,cet4+cet6+postgrad,P3,definition_too_advanced,0,0,1,4,0.000,0.750,0.750,,input|output|ratio
3077,sophisticated,adj.,复杂的、久经世故的,having or appealing to those having worldly knowledge and refinement and savoir-faire,cet4+cet6+postgrad,P3,definition_too_advanced|high_outside_vocab_ratio,0,0,2,6,0.667,0.667,0.667,faire|refinement|savoir|worldly,faire|refinement|savoir|worldly
3097,Islam,n.,伊斯兰教,the civilization of Muslims collectively which is governed by the Muslim religion,cet6,P3,definition_too_advanced|high_outside_vocab_ratio,0,0,2,6,0.500,0.833,0.833,collectively|muslim|muslims,civilization|collectively|governed|muslim|muslims
3114,prompt,adj.,迅速的、及时的,a cue given to a performer (usually the beginning of the next line to be spoken),cet4+cet6+postgrad,P2,pos_definition_conflict,0,1,0,8,0.125,0.250,0.250,performer,cue|performer
3130,workshop,n.,工场、车间、研讨会,small workplace where handcrafts or manufacturing are done,cet4+cet6+postgrad,P3,definition_too_advanced,0,0,1,5,0.400,0.600,0.600,handcrafts|workplace,handcrafts|manufacturing|workplace
3160,versus,prep.,对,"Against; as, John Doe versus Richard Roe; -- chiefly",cet6+postgrad,P3,definition_too_advanced|high_outside_vocab_ratio,0,0,2,6,0.833,1.000,0.833,chiefly|doe|john|richard|roe,chiefly|doe|john|richard|roe|versus
3171,boom,n.,繁荣、隆隆声,a deep prolonged loud noise,postgrad,P3,definition_too_advanced,0,0,1,4,0.250,0.750,0.500,noise,loud|noise|prolonged
3179,lemon,n.,柠檬、柠檬树、柠檬色,yellow oval fruit with juicy acidic flesh,cet4+postgrad,P3,definition_too_advanced,0,0,1,6,0.333,0.667,0.667,acidic|juicy,acidic|flesh|juicy|oval
3204,shower,n.,阵雨、淋浴、一阵,a plumbing fixture that sprays water over you,cet4+cet6+postgrad,P3,definition_too_advanced,0,0,1,4,0.250,0.750,0.750,plumbing,fixture|plumbing|sprays
3215,mortgage,n.,抵押、约束性义务、抵押借款,a conditional conveyance of property as security for the repayment of a loan,cet6+postgrad,P3,high_outside_vocab_ratio,0,0,1,6,0.500,0.500,0.500,conditional|conveyance|repayment,conditional|conveyance|repayment
3234,wise,adj.,明智的、慎虑的、聪明的,having or prompted by wisdom or discernment,cet4+cet6+postgrad,P3,definition_too_advanced,0,0,1,3,0.333,0.667,0.333,discernment,discernment|prompted
3247,lung,n.,肺、肺脏、空地,either of two saclike respiratory organs in the chest of vertebrates,cet4+cet6+postgrad,P3,definition_too_advanced|high_outside_vocab_ratio,0,0,2,6,0.500,0.667,0.667,respiratory|saclike|vertebrates,organs|respiratory|saclike|vertebrates
3259,competitor,n.,竞争者,the contestant you hope to defeat,cet6,P3,definition_too_advanced,0,0,1,3,0.333,0.667,0.667,contestant,contestant|defeat
3273,ban,n.,禁令,100 bani equal 1 leu in Moldova,cet4+cet6+postgrad,P3,definition_too_advanced|high_outside_vocab_ratio,0,0,2,4,0.750,0.750,0.750,bani|leu|moldova,bani|leu|moldova
3278,pet,n.,宠物、受宠爱的人、宠坏的孩子,a domesticated animal kept for companionship or amusement,cet4+cet6+postgrad,P3,definition_too_advanced,0,0,1,5,0.400,0.600,0.600,companionship|domesticated,amusement|companionship|domesticated
3279,miracle,n.,奇迹、奇事,any amazing or wonderful occurrence,cet4+cet6+postgrad,P3,definition_too_advanced,0,0,1,3,0.000,0.667,0.667,,amazing|occurrence
3282,widespread,adj.,充分伸展的、广布的、普及的,widely circulated or diffused,cet4+cet6+postgrad,P3,definition_too_advanced,0,0,1,3,0.000,0.667,0.667,,circulated|diffused
3300,intensity,n.,强烈、紧张、强度,the amount of energy transmitted (as by acoustic or electromagnetic radiation),cet4+cet6+postgrad,P3,definition_too_advanced,0,0,1,6,0.333,0.667,0.667,acoustic|electromagnetic,acoustic|electromagnetic|radiation|transmitted
3311,prescription,n.,处方、命令、指定,directions prescribed beforehand,cet6+postgrad,P3,definition_too_advanced,0,0,1,3,0.000,0.667,0.667,,beforehand|prescribed
3349,sigh,n.,叹息,an utterance made by exhaling audibly,cet4+cet6+postgrad,P3,definition_too_advanced|high_outside_vocab_ratio,0,0,2,4,0.750,0.750,0.750,audibly|exhaling|utterance,audibly|exhaling|utterance
3381,mess,n.,食堂、伙食、用膳,a state of confusion and disorderliness,cet4+cet6+postgrad,P3,definition_too_advanced,0,0,1,3,0.333,0.667,0.333,disorderliness,confusion|disorderliness
3386,adolescent,adj.,青春期的、青少年的,relating to or peculiar to or suggestive of an adolescent,cet6+postgrad,P3,definition_too_advanced,0,0,1,4,0.250,0.750,0.500,suggestive,adolescent|peculiar|suggestive
3388,upset,adj.,弄翻的、混乱的、心烦的,the act of disturbing the mind or body,cet4+cet6+postgrad,P2,pos_definition_conflict,0,1,0,4,0.000,0.250,0.250,,disturbing
3404,ritual,n.,仪式、典礼、宗教仪式,any customary observance or practice,cet6+postgrad,P3,definition_too_advanced,0,0,1,3,0.333,0.667,0.667,observance,customary|observance
3411,magic,n.,魔术、魔法,any art that invokes supernatural powers,cet4+cet6+postgrad,P3,high_outside_vocab_ratio,0,0,1,4,0.500,0.500,0.500,invokes|supernatural,invokes|supernatural
3415,acceptable,adj.,可接受的、合意的、可忍受的,worthy of acceptance or satisfactory,cet4,P3,definition_too_advanced,0,0,1,3,0.000,1.000,1.000,,acceptance|satisfactory|worthy
3420,hunt,n.,狩猎、追捕、搜寻,Englishman and Pre-Raphaelite painter (1827-1910),cet4+cet6+postgrad,P3,definition_too_advanced|high_outside_vocab_ratio,0,0,2,4,0.500,1.000,0.750,pre|raphaelite,englishman|painter|pre|raphaelite
3434,slope,n.,倾斜、斜坡、斜率,an elevated geological formation,cet4+cet6+postgrad,P3,definition_too_advanced,0,0,1,3,0.333,1.000,0.667,geological,elevated|formation|geological
3447,evil,n.,邪恶、不幸、罪恶,morally objectionable behavior,cet4+cet6+postgrad,P3,definition_too_advanced|high_outside_vocab_ratio,0,0,2,3,0.667,0.667,0.667,morally|objectionable,morally|objectionable
3464,integrity,n.,正直、廉正、完整,an undivided or unbroken completeness or totality with nothing wanting,cet6+postgrad,P3,definition_too_advanced|high_outside_vocab_ratio,0,0,2,6,0.667,0.667,0.667,completeness|totality|unbroken|undivided,completeness|totality|unbroken|undivided
3481,snake,n.,蛇、阴险的人,limbless scaly elongate reptile,cet4+cet6+postgrad,P3,definition_too_advanced|high_outside_vocab_ratio,0,0,2,4,0.750,1.000,1.000,elongate|limbless|scaly,elongate|limbless|reptile|scaly
3493,fold,n.,折层、折、羊栏,an angular or rounded shape made by folding,cet4+cet6+postgrad,P3,definition_too_advanced,0,0,1,5,0.400,0.600,0.400,angular|rounded,angular|folding|rounded
3504,reliable,adj.,可靠的、可信赖的,worthy of reliance or trust,cet4+cet6+postgrad,P3,definition_too_advanced,0,0,1,3,0.000,0.667,0.667,,reliance|worthy
3569,obstacle,n.,障碍、妨害物、阻碍,something immaterial that stands in the way and must be circumvented or surmounted,cet4+cet6+postgrad,P3,high_outside_vocab_ratio,0,0,1,6,0.500,0.500,0.500,circumvented|immaterial|surmounted,circumvented|immaterial|surmounted
3611,bacteria,n.,细菌,(microbiology) single-celled or noncellular spherical or spiral or rod-shaped organisms lacking chlorophyll that reproduce by fission,cet4+cet6,P3,definition_too_advanced,0,0,1,13,0.231,0.692,0.692,chlorophyll|microbiology|noncellular,chlorophyll|fission|microbiology|noncellular|organisms|reproduce|rod|spherical|spiral
3616,temple,n.,圣堂、庙宇、教堂,place of worship consisting of an edifice for the worship of a deity,cet4+cet6+postgrad,P3,definition_too_advanced,0,0,1,6,0.333,0.667,0.667,deity|edifice,deity|edifice|worship
3633,minimum,adj.,最小的、最低的,the smallest possible quantity,cet4+cet6+postgrad,P2,pos_definition_conflict,0,1,0,3,0.000,0.333,0.333,,quantity
3640,uncomfortable,adj.,不舒服的、不自在的、不安的,conducive to or feeling mental discomfort,cet4+cet6,P3,high_outside_vocab_ratio,0,0,1,4,0.500,0.500,0.500,conducive|discomfort,conducive|discomfort
3642,execute,v.,执行、实行、完成,kill as a means of socially sanctioned punishment,cet4+cet6+postgrad,P3,definition_too_advanced,0,0,1,5,0.200,0.600,0.200,socially,punishment|sanctioned|socially
3644,ideology,n.,思想体系、意识形态、观念学,imaginary or visionary theorization,cet6+postgrad,P3,definition_too_advanced|high_outside_vocab_ratio,0,0,2,3,0.667,1.000,1.000,theorization|visionary,imaginary|theorization|visionary
3646,tune,n.,歌曲、主旋律、心情,a succession of notes forming a distinctive sequence,cet4+cet6+postgrad,P3,definition_too_advanced,0,0,1,5,0.000,0.600,0.400,,distinctive|sequence|succession
3655,peaceful,adj.,平静的、和平的、和平时期的,not disturbed by strife or turmoil or war,cet4+cet6+postgrad,P3,definition_too_advanced,0,0,1,4,0.000,0.750,0.750,,disturbed|strife|turmoil
3688,landing,n.,登陆、码头、降落,an intermediate platform in a staircase,cet4+cet6,P3,definition_too_advanced,0,0,1,3,0.000,0.667,0.667,,intermediate|staircase
3692,bat,n.,蝙蝠、球棒,nocturnal mouselike mammal with forelimbs modified to form membranous wings and anatomical adaptations for echolocation by which they navigate,cet4+postgrad,P3,definition_too_advanced|high_outside_vocab_ratio,0,0,2,12,0.667,0.833,0.750,adaptations|anatomical|echolocation|forelimbs|membranous|mouselike|navigate|nocturnal,adaptations|anatomical|echolocation|forelimbs|mammal|membranous|modified|mouselike|navigate|nocturnal
3695,festival,adj.,节日的、喜庆的、快乐的,a day or period of time set aside for feasting and celebration,cet4+cet6+postgrad,P2,pos_definition_conflict,0,1,0,7,0.143,0.286,0.286,celebration,celebration|feasting
3748,thumb,n.,拇指,the thick short innermost digit of the forelimb,cet4+cet6+postgrad,P3,definition_too_advanced|high_outside_vocab_ratio,0,0,2,5,0.600,0.600,0.600,digit|forelimb|innermost,digit|forelimb|innermost
3749,unity,n.,一致、联合、单一(性),an undivided or unbroken completeness or totality with nothing wanting,cet4+cet6+postgrad,P3,definition_too_advanced|high_outside_vocab_ratio,0,0,2,6,0.667,0.667,0.667,completeness|totality|unbroken|undivided,completeness|totality|unbroken|undivided
3757,complexity,n.,复杂、复杂性、复杂的事物,the quality of being intricate and compounded,cet6,P3,definition_too_advanced,0,0,1,3,0.000,0.667,0.333,,compounded|intricate
3766,residence,n.,住宅、居留、驻扎,any address at which you dwell more than temporarily,cet4+cet6+postgrad,P3,definition_too_advanced,0,0,1,3,0.333,0.667,0.667,temporarily,dwell|temporarily
3767,shame,n.,羞耻、羞愧、耻辱,a painful emotion resulting from an awareness of inadequacy or guilt,cet4+cet6+postgrad,P3,definition_too_advanced,0,0,1,6,0.333,0.667,0.333,awareness|inadequacy,awareness|guilt|inadequacy|painful
3814,ankle,n.,踝,a gliding joint between the distal ends of the tibia and fibula and the proximal end of the talus,cet4+cet6+postgrad,P3,definition_too_advanced|high_outside_vocab_ratio,0,0,2,9,0.556,0.667,0.667,distal|fibula|proximal|talus|tibia,distal|fibula|gliding|proximal|talus|tibia
3826,precise,adj.,精确的、严谨的、明确的,sharply exact or accurate or delimited,cet4+cet6+postgrad,P3,definition_too_advanced,0,0,1,4,0.250,0.750,0.500,delimited,delimited|exact|sharply
3839,oxygen,n.,氧,a nonmetallic bivalent element that is normally a colorless odorless tasteless nonflammable diatomic gas,cet4+postgrad,P3,definition_too_advanced|high_outside_vocab_ratio,0,0,2,10,0.700,0.700,0.700,bivalent|colorless|diatomic|nonflammable|nonmetallic|odorless|tasteless,bivalent|colorless|diatomic|nonflammable|nonmetallic|odorless|tasteless
3872,statue,v.,以雕像装饰,a sculpture representing a human or animal,cet4+cet6+postgrad,P2,pos_definition_conflict,0,1,0,4,0.000,0.250,0.000,,sculpture
3878,decent,adj.,有分寸的、得体的、大方的,socially or conventionally correct,cet4+cet6+postgrad,P3,definition_too_advanced|high_outside_vocab_ratio,0,0,2,3,0.667,0.667,0.667,conventionally|socially,conventionally|socially
3885,exploration,n.,探险、踏勘、探测,to travel for the purpose of discovery,cet6,P2,pos_definition_conflict,0,1,0,3,0.000,0.000,0.000,,
3894,purple,n.,紫色、帝位,a purple color or pigment,cet4+cet6+postgrad,P3,definition_too_advanced,0,0,1,3,0.333,0.667,0.333,pigment,pigment|purple
3896,laser,n.,激光,an acronym for light amplification by stimulated emission of radiation,cet4+cet6+postgrad,P3,definition_too_advanced,0,0,1,6,0.333,0.667,0.500,acronym|amplification,acronym|amplification|radiation|stimulated
3907,parade,n.,游行、炫耀、阅兵,a ceremonial procession including people marching,cet4+cet6+postgrad,P3,definition_too_advanced,0,0,1,5,0.400,0.600,0.600,ceremonial|marching,ceremonial|marching|procession
3911,realm,n.,王国、领土、领域,a domain in which something is dominant,cet4+cet6+postgrad,P3,definition_too_advanced,0,0,1,3,0.000,0.667,0.000,,domain|dominant
3915,cancel,v.,取消、撤销,postpone indefinitely or annul something that was scheduled,cet4+cet6+postgrad,P3,definition_too_advanced,0,0,1,5,0.200,0.600,0.600,annul,annul|indefinitely|postpone
3919,recipient,adj.,领受的、容易接受的、感受性强的,a person who receives something,cet6+postgrad,P2,pos_definition_conflict,0,1,0,3,0.000,0.000,0.000,,
3949,vanish,v.,消失、不见、成为零,become invisible or unnoticeable,cet4+cet6+postgrad,P3,definition_too_advanced,0,0,1,3,0.333,0.667,0.333,unnoticeable,invisible|unnoticeable
3955,casual,adj.,偶然的、不经意的、便装的,marked by blithe unconcern,cet4+cet6+postgrad,P3,definition_too_advanced|high_outside_vocab_ratio,0,0,2,3,0.667,0.667,0.667,blithe|unconcern,blithe|unconcern
4000,outstanding,adj.,杰出的、突出的、未偿付的,distinguished from others in excellence,cet4+cet6+postgrad,P3,definition_too_advanced,0,0,1,3,0.333,0.667,0.333,excellence,distinguished|excellence
4043,ridiculous,adj.,荒谬的、可笑的,inspiring scornful pity,cet4+cet6+postgrad,P3,definition_too_advanced|high_outside_vocab_ratio,0,0,2,3,0.667,0.667,0.667,pity|scornful,pity|scornful
4044,diamond,n.,钻石、菱形,a transparent piece of diamond that has been cut and polished and is valued as a precious gem,cet4+cet6+postgrad,P3,definition_too_advanced,0,0,1,8,0.125,0.625,0.375,gem,diamond|gem|polished|precious|transparent
4051,sentiment,n.,感情、感伤、情操,"tender, romantic, or nostalgic feeling or emotion",cet6+postgrad,P3,definition_too_advanced,0,0,1,5,0.200,0.600,0.400,nostalgic,nostalgic|romantic|tender
4082,gasoline,n.,汽油,a volatile flammable mixture of hydrocarbons (hexane and heptane and octane etc.) derived from petroleum,cet4+cet6+postgrad,P3,definition_too_advanced|high_outside_vocab_ratio,0,0,2,10,0.600,0.900,0.800,etc|flammable|heptane|hexane|octane|volatile,derived|etc|flammable|heptane|hexane|hydrocarbons|octane|petroleum|volatile
4104,bubble,n.,泡沫,"a hollow globule of gas (e.g., air or carbon dioxide)",cet4+postgrad,P3,definition_too_advanced,0,0,1,8,0.375,0.750,0.625,e|g|globule,carbon|dioxide|e|g|globule|hollow
4150,wolf,n.,狼、残忍贪婪之人、极度穷困,any of various predatory carnivorous canine mammals of North America and Eurasia that usually hunt in packs,cet4+cet6+postgrad,P3,definition_too_advanced,0,0,1,11,0.455,0.636,0.545,america|canine|carnivorous|eurasia|predatory,america|canine|carnivorous|eurasia|hunt|mammals|predatory
4154,grin,n.,露齿笑,"to draw back the lips and reveal the teeth, in a smile, grimace, or snarl",cet6+postgrad,P2,pos_definition_conflict,0,1,0,8,0.250,0.250,0.250,grimace|snarl,grimace|snarl
4163,hostile,adj.,敌人的、怀敌意的、敌对的,characterized by enmity or ill will,cet4+cet6+postgrad,P3,definition_too_advanced|high_outside_vocab_ratio,0,0,2,3,0.667,0.667,0.667,enmity|ill,enmity|ill
4170,instantly,adv.,立即地、即刻地,without delay or hesitation,cet4+cet6,P3,definition_too_advanced,0,0,1,3,0.333,0.667,0.333,hesitation,delay|hesitation
4177,patience,n.,耐性、忍耐,good-natured tolerance of delay or incompetence,cet4+cet6+postgrad,P3,definition_too_advanced,0,0,1,5,0.200,0.600,0.400,incompetence,delay|incompetence|tolerance
4183,patrol,n.,巡逻、巡逻员、侦察队,a detachment used for security or reconnaissance,cet6+postgrad,P3,high_outside_vocab_ratio,0,0,1,4,0.500,0.500,0.500,detachment|reconnaissance,detachment|reconnaissance
4184,revelation,n.,揭露、泄露、发觉,an enlightening or astonishing disclosure,cet6+postgrad,P3,definition_too_advanced,0,0,1,3,0.333,1.000,1.000,disclosure,astonishing|disclosure|enlightening
4187,jewelry,n.,珠宝、珠宝类,an adornment (as a bracelet or ring or necklace) made of precious metals and set with gems (or imitation gems),postgrad,P3,definition_too_advanced,0,0,1,11,0.364,0.636,0.545,adornment|bracelet|gems,adornment|bracelet|gems|imitation|necklace|precious
4197,ruin,n.,毁灭、推翻、废墟,an irrecoverable state of devastation and destruction,cet4+cet6+postgrad,P3,high_outside_vocab_ratio,0,0,1,4,0.500,0.500,0.500,devastation|irrecoverable,devastation|irrecoverable
4202,reliability,n.,信度、可靠性,the quality of being dependable or reliable,cet4+cet6,P3,definition_too_advanced,0,0,1,3,0.333,0.667,0.333,dependable,dependable|reliable
4211,discourage,v.,使气馁、阻碍,deprive of courage or hope,cet4+cet6+postgrad,P3,definition_too_advanced,0,0,1,3,0.000,0.667,0.333,,courage|deprive
4218,empire,n.,帝国、帝权,the domain ruled by an emperor or empress,cet4+cet6+postgrad,P3,definition_too_advanced,0,0,1,4,0.250,0.750,0.500,empress,domain|emperor|empress
4244,skull,n.,头盖骨、头脑、好学生,the bony skeleton of the head of vertebrates,postgrad,P3,definition_too_advanced|high_outside_vocab_ratio,0,0,2,4,0.500,0.750,0.750,bony|vertebrates,bony|skeleton|vertebrates
4248,manipulate,v.,操纵、利用、操作,influence or control shrewdly or deviously,cet6+postgrad,P3,high_outside_vocab_ratio,0,0,1,4,0.500,0.500,0.500,deviously|shrewdly,deviously|shrewdly
4299,spell,n.,符咒、魅力、轮值,a verbal formula believed to have magical force,cet4+cet6+postgrad,P3,definition_too_advanced,0,0,1,5,0.200,0.600,0.200,magical,formula|magical|verbal
4305,lion,n.,狮子、狮子(星)座、国际狮子会会员,large gregarious predatory feline of Africa and India having a tawny coat with a shaggy mane in the male,cet4+cet6+postgrad,P3,high_outside_vocab_ratio,0,0,1,11,0.545,0.545,0.545,feline|gregarious|mane|predatory|shaggy|tawny,feline|gregarious|mane|predatory|shaggy|tawny
4306,penny,n.,便士、一分、小钱,a fractional monetary unit of Ireland and the United Kingdom,cet4+cet6+postgrad,P3,definition_too_advanced,0,0,1,6,0.333,0.667,0.667,fractional|ireland,fractional|ireland|kingdom|monetary
